timestamp,market-cap-value,market-cap-USD,price-per-ether
1450137600,75711572.21875,75.71157221875,1.00
1450224000,75738029.56250,62.10518424125,0.82
1450310400,75764912.68750,71.21901792625,0.94
1450396800,75791584.25000,69.72825751,0.92
1450483200,75818278.78125,69.75281647875,0.92
1450569600,75844714.87500,78.87850347,1.04
1450656000,75871172.68750,68.28405541875,0.90
1450742400,75898547.06250,67.549706885625,0.89
1450828800,75925946.43750,65.29631393625,0.86
1450915200,75952633.00000,66.07879071,0.87
1451001600,75979436.59375,68.381492934375,0.90
1451088000,76005996.75000,64.6050972375,0.85
1451174400,76032850.50000,69.189893955,0.91
1451260800,76059908.46875,66.1721203678125,0.87
1451347200,76086569.56250,69.238778301875,0.91
1451433600,76113305.81250,70.785374405625,0.93
1451520000,76140217.84375,71.571804773125,0.94
1451606400,76166284.40625,73.11963303,0.96
1451692800,76193668.31250,73.907858263125,0.97
1451779200,76221344.09375,73.9347037709375,0.97
1451865600,76248764.71875,72.4363264828125,0.95
1451952000,76276603.93750,71.70000770125,0.94
1452038400,76304229.40625,74.0151025240625,0.97
1452124800,76331251.59375,73.27800153,0.96
1452211200,76359248.31250,76.3592483125,1.00
1452297600,76386844.09375,76.38684409375,1.00
1452384000,76414132.06250,77.94241470375,1.02
1452470400,76441137.21875,82.55642819625,1.08
1452556800,76467038.00000,86.40775294,1.13
1452643200,76493573.31250,87.20267357625,1.14
1452729600,76520492.53125,87.9985664109375,1.15
1452816000,76547289.87500,91.85674785,1.20
1452902400,76573813.00000,93.42005186,1.22
1452988800,76600412.84375,97.2825243115625,1.27
1453075200,76627033.00000,111.10919785,1.45
1453161600,76653125.81250,97.349469781875,1.27
1453248000,76679668.31250,117.319892518125,1.53
1453334400,76705587.53125,118.126604798125,1.54
1453420800,76731842.53125,116.6324006475,1.52
1453507200,76757612.21875,155.050376681875,2.02
1453593600,76784855.18750,161.24819589375,2.10
1453680000,76810552.21875,191.2582750246875,2.49
1453766400,76837541.43750,175.957969891875,2.29
1453852800,76863642.21875,186.010014169375,2.42
1453939200,76890206.90625,193.76332140375,2.52
1454025600,76916367.37500,186.1376090475,2.42
1454112000,76942560.50000,187.73984762,2.44
1454198400,76968242.37500,170.09981564875,2.21
1454284800,76994673.62500,166.30849503,2.16
1454371200,77020542.06250,187.159917211875,2.43
1454457600,77047840.03125,187.99672967625,2.44
1454544000,77074402.37500,196.53972605625,2.55
1454630400,77100960.96875,196.6074504703125,2.55
1454716800,77127306.75000,195.1320860775,2.53
1454803200,77153991.43750,230.690434398125,2.99
1454889600,77180646.43750,243.119036278125,3.15
1454976000,77207117.53125,289.5266907421875,3.75
1455062400,77233278.78125,335.9647626984375,4.35
1455148800,77259756.59375,490.5994543703125,6.35
1455235200,77286258.62500,415.8000714025,5.38
1455321600,77313140.18750,405.893985984375,5.25
1455408000,77339469.25000,400.618450715,5.18
1455494400,77365694.56250,404.622582561875,5.23
1455580800,77392140.34375,329.690517864375,4.26
1455667200,77417812.37500,297.28439952,3.84
1455753600,77444027.21875,336.8815184015625,4.35
1455840000,77470682.68750,345.51924478625,4.46
1455926400,77497243.46875,338.6629539584375,4.37
1456012800,77523780.03125,359.710339345,4.64
1456099200,77550537.84375,435.0585173034375,5.61
1456185600,77576707.84375,439.084166395625,5.66
1456272000,77603134.71875,481.13943525625,6.20
1456358400,77629958.46875,461.8982528890625,5.95
1456444800,77656612.53125,463.6099768115625,5.97
1456531200,77682812.37500,489.4017179625,6.30
1456617600,77709234.40625,503.5558389525,6.48
1456704000,77734463.93750,494.3911906425,6.36
1456790400,77760945.03125,590.9831822375,7.60
1456876800,77787589.25000,675.9741505825,8.69
1456963200,77813700.50000,727.558099675,9.35
1457049600,77839585.81250,775.2822746925,9.96
1457136000,77866168.00000,854.19186296,10.97
1457222400,77891567.68750,859.143991593125,11.03
1457308800,77917553.15625,740.216754984375,9.50
1457395200,77943376.28125,769.3011238959375,9.87
1457481600,77969119.56250,902.102713338125,11.57
1457568000,77995747.06250,867.312707335,11.12
1457654400,78022049.56250,878.52827807375,11.26
1457740800,78048419.71875,1034.922045470625,13.26
1457827200,78075670.18750,1170.354296110625,14.99
1457913600,78102078.15625,975.4949561715625,12.49
1458000000,78133301.75000,1021.98358689,13.08
1458086400,78164791.90625,1009.1074635096875,12.91
1458172800,78196816.43750,863.29285347,11.04
1458259200,78228103.62500,838.60527086,10.72
1458345600,78260182.06250,817.818902553125,10.45
1458432000,78291777.21875,788.3981965928125,10.07
1458518400,78323160.18750,937.528227444375,11.97
1458604800,78354872.06250,863.47069012875,11.02
1458691200,78386166.12500,964.93370499875,12.31
1458777600,78418237.21875,874.3633449890625,11.15
1458864000,78450127.06250,837.8473570275,10.68
1458950400,78482062.37500,862.51786550125,10.99
1459036800,78513693.15625,820.4680934828125,10.45
1459123200,78544999.71875,911.1219967375,11.60
1459209600,78576437.53125,918.5585547403125,11.69
1459296000,78608138.00000,933.86467944,11.88
1459382400,78639526.90625,897.2770020003125,11.41
1459468800,78671411.59375,915.73523095125,11.64
1459555200,78702492.84375,913.7359419159375,11.61
1459641600,78734222.53125,917.2536924890625,11.65
1459728000,78766175.65625,875.8798732975,11.12
1459814400,78797750.50000,821.860537715,10.43
1459900800,78829013.15625,849.776761824375,10.78
1459987200,78860180.50000,798.853628465,10.13
1460073600,78892094.87500,774.7203716725,9.82
1460160000,78923008.46875,722.1455274890625,9.15
1460246400,78954790.18750,692.433509944375,8.77
1460332800,78985756.75000,687.9659412925,8.71
1460419200,79017139.56250,591.0482039275,7.48
1460505600,79048625.65625,637.9224090459375,8.07
1460592000,79080026.75000,670.59862684,8.48
1460678400,79111760.18750,653.46313914875,8.26
1460764800,79143291.43750,676.675141790625,8.55
1460851200,79174794.56250,748.201808615625,9.45
1460937600,79206654.09375,702.5630218115625,8.87
1461024000,79237980.65625,702.8408884209375,8.87
1461110400,79269812.06250,680.13498749625,8.58
1461196800,79301185.96875,644.7186419259375,8.13
1461283200,79332762.68750,625.1421699775,7.88
1461369600,79364456.28125,661.899565385625,8.34
1461456000,79395951.28125,637.5494887884375,8.03
1461542400,79428088.31250,597.29922411,7.52
1461628800,79459376.12500,595.15072717625,7.49
1461715200,79491251.12500,618.4419337525,7.78
1461801600,79522933.62500,582.107874135,7.32
1461888000,79554617.21875,597.4551753128125,7.51
1461974400,79586508.93750,705.932334275625,8.87
1462060800,79617521.75000,697.44949053,8.76
1462147200,79649433.31250,798.08732179125,10.02
1462233600,79681224.56250,748.206698641875,9.39
1462320000,79712683.31250,749.2992231375,9.40
1462406400,79744463.31250,779.90085119625,9.78
1462492800,79776200.96875,741.1209069996875,9.29
1462579200,79807774.09375,743.80845455375,9.32
1462665600,79839623.31250,756.081232769375,9.47
1462752000,79871424.71875,742.0055356371875,9.29
1462838400,79903125.65625,747.8932561425,9.36
1462924800,79934378.78125,792.1496937221875,9.91
1463011200,79966635.81250,802.8650235575,10.04
1463097600,79998832.53125,841.58771822875,10.52
1463184000,80030500.34375,813.1098834925,10.16
1463270400,80062308.93750,796.619973928125,9.95
1463356800,80093820.50000,890.64328396,11.12
1463443200,80126012.68750,975.93483453375,12.18
1463529600,80158417.06250,1058.892689395625,13.21
1463616000,80190320.65625,1167.571068755,14.56
1463702400,80222410.34375,1102.255918123125,13.74
1463788800,80254249.87500,1121.15187075375,13.97
1463875200,80286506.12500,1144.08271228125,14.25
1463961600,80318586.75000,1078.6786200525,13.43
1464048000,80350590.03125,1018.0419756959375,12.67
1464134400,80382947.06250,1008.00215616375,12.54
1464220800,80414991.43750,998.75419365375,12.42
1464307200,80447313.15625,892.1607029028125,11.09
1464393600,80479631.75000,942.4164877925,11.71
1464480000,80511604.09375,995.12342659875,12.36
1464566400,80543608.15625,1015.6548988503125,12.61
1464652800,80575141.12500,1122.41171587125,13.93
1464739200,80607285.34375,1114.7987563040625,13.83
1464825600,80639467.53125,1112.0182572559375,13.79
1464912000,80671739.71875,1114.883442913125,13.82
1464998400,80703881.28125,1108.871328804375,13.74
1465084800,80735464.40625,1122.222955246875,13.90
1465171200,80767836.28125,1129.9420295746875,13.99
1465257600,80799782.21875,1168.364850883125,14.46
1465344000,80832085.18750,1168.83195181125,14.46
1465430400,80864311.12500,1169.2979388675,14.46
1465516800,80895475.34375,1130.1097905521875,13.97
1465603200,80927850.81250,1140.273417948125,14.09
1465689600,80960067.68750,1267.025059309375,15.65
1465776000,80992291.90625,1425.46433755,17.60
1465862400,81024437.37500,1513.536490165,18.68
1465948800,81056304.40625,1488.19374889875,18.36
1466035200,81088182.06250,1682.579777796875,20.75
1466121600,81121598.46875,1248.4614004340625,15.39
1466208000,81155985.65625,925.9897963378125,11.41
1466294400,81189181.12500,1001.8744950825,12.34
1466380800,81220895.96875,958.40657243125,11.80
1466467200,81252884.40625,1040.8494492440625,12.81
1466553600,81285555.03125,1067.2793375603125,13.13
1466640000,81317403.15625,1109.9825530828125,13.65
1466726400,81349575.03125,1159.2314441953125,14.25
1466812800,81381260.96875,1163.752031853125,14.30
1466899200,81413575.65625,1118.622529516875,13.74
1466985600,81445670.50000,1136.167103475,13.95
1467072000,81477831.90625,980.99309615125,12.04
1467158400,81509701.90625,1050.6600575715625,12.89
1467244800,81541688.00000,1014.37859872,12.44
1467331200,81574306.28125,1002.5482241965625,12.29
1467417600,81606222.84375,985.8031719525,12.08
1467504000,81638262.53125,969.0461762459375,11.87
1467590400,81670403.46875,929.409191474375,11.38
1467676800,81701981.28125,846.43252607375,10.36
1467763200,81734336.12500,858.2105293125,10.50
1467849600,81766232.06250,820.115307586875,10.03
1467936000,81798181.59375,918.5935792978125,11.23
1468022400,81830979.71875,892.7759887315625,10.91
1468108800,81862945.18750,894.761990899375,10.93
1468195200,81894930.50000,863.991516775,10.55
1468281600,81926691.59375,863.507329398125,10.54
1468368000,81958850.18750,857.28957296125,10.46
1468454400,81990660.96875,943.7125077503125,11.51
1468540800,82022545.65625,982.630096961875,11.98
1468627200,82054716.12500,957.57853717875,11.67
1468713600,82086493.46875,922.65218658875,11.24
1468800000,82118991.59375,905.7724772790625,11.03
1468886400,82150765.50000,961.985464005,11.71
1468972800,82182680.34375,1028.92715790375,12.52
1469059200,82215464.09375,1035.91484758125,12.60
1469145600,82247154.71875,1216.4354182903125,14.79
1469232000,82279549.71875,1177.4203564753125,14.31
1469318400,82311025.96875,1042.057588764375,12.66
1469404800,82343017.53125,1134.686781580625,13.78
1469491200,82373795.03125,995.8991819278125,12.09
1469577600,82406732.84375,1077.0559982678125,13.07
1469664000,82439087.06250,1060.16665962375,12.86
1469750400,82471026.43750,1061.402110250625,12.87
1469836800,82502668.15625,1032.93340531625,12.52
1469923200,82534887.68750,981.339814604375,11.89
1470009600,82566482.06250,914.8366212525,11.08
1470096000,82597837.21875,685.562048915625,8.30
1470182400,82629544.87500,857.6946758025,10.38
1470268800,82662397.68750,926.645478076875,11.21
1470355200,82694629.71875,912.948712095,11.04
1470441600,82726219.56250,905.02484201375,10.94
1470528000,82758510.65625,909.5160321121875,10.99
1470614400,82790686.59375,934.7068516434375,11.29
1470700800,82823353.00000,1014.58607425,12.25
1470787200,82855515.96875,1010.0087396590625,12.19
1470873600,82887720.81250,966.47082467375,11.66
1470960000,82919824.09375,973.478734860625,11.74
1471046400,82951823.00000,958.92307388,11.56
1471132800,82983791.90625,927.758793511875,11.18
1471219200,83016120.81250,925.629747059375,11.15
1471305600,83048158.00000,925.15648012,11.14
