timestamp,total_eth_growth
1468454400,81990660.96875
1468540800,82022545.65625
1468627200,82054716.12500
1468713600,82086493.46875
1468800000,82118991.59375
1468886400,82150765.50000
1468972800,82182680.34375
1469059200,82215464.09375
1469145600,82247154.71875
1469232000,82279549.71875
1469318400,82311025.96875
1469404800,82343017.53125
1469491200,82373795.03125
1469577600,82406732.84375
1469664000,82439087.06250
1469750400,82471026.43750
1469836800,82502668.15625
1469923200,82534887.68750
1470009600,82566482.06250
1470096000,82597837.21875
1470182400,82629544.87500
1470268800,82662397.68750
1470355200,82694629.71875
1470441600,82726219.56250
1470528000,82758510.65625
1470614400,82790686.59375
1470700800,82823353.00000
1470787200,82855515.96875
1470873600,82887720.81250
1470960000,82919824.09375
1471046400,82951823.00000
1471132800,82983791.90625
1471219200,83016120.81250
1471305600,83048158.00000
1471392000,83080152.53125
1471478400,83112941.59375
1471564800,83144783.00000
1471651200,83177018.62500
1471737600,83209710.96875
1471824000,83242003.78125
1471910400,83274187.68750
1471996800,83306461.12500
1472083200,83338596.75000
1472169600,83370468.15625
1472256000,83402774.56250
1472342400,83434802.53125
1472428800,83466728.93750
1472515200,83498603.78125
1472601600,83530738.31250
1472688000,83562483.00000
1472774400,83594867.06250
1472860800,83626363.00000
1472947200,83658227.06250
1473033600,83690416.75000
1473120000,83722098.15625
1473206400,83754365.96875
1473292800,83786274.56250
1473379200,83818491.43750
1473465600,83850322.06250
1473552000,83882675.03125
1473638400,83914912.06250
1473724800,83946816.90625
1473811200,83979345.65625
1473897600,84011528.46875
1473984000,84043767.53125
1474070400,84075922.53125
1474156800,84105496.43750
1474243200,84139773.31250
1474329600,84172265.81250
1474416000,84204349.56250
1474502400,84235955.18750
1474588800,84270235.18750
1474675200,84303560.03125
1474761600,84337950.50000
1474848000,84370081.28125
1474934400,84405365.65625
1475020800,84437769.09375
1475107200,84470082.53125
1475193600,84501705.81250
1475280000,84536184.40625
1475366400,84571945.18750
1475452800,84605219.71875
1475539200,84637271.12500
1475625600,84670352.68750
1475712000,84703194.56250
1475798400,84739746.43750
1475884800,84775841.12500
1475971200,84809266.75000
1476057600,84842397.68750
1476144000,84874877.21875
1476230400,84907969.87500
1476316800,84942796.12500
1476403200,84975709.87500
1476489600,85007917.06250
1476576000,85040847.37500
1476662400,85073225.18750
1476748800,85106545.50000
1476835200,85139695.18750
1476921600,85174224.25000
1477008000,85206351.12500
1477094400,85238053.78125
1477180800,85269385.65625
1477267200,85301447.53125
1477353600,85333112.06250
1477440000,85365068.93750
1477526400,85396513.93750
1477612800,85427593.00000
1477699200,85457222.53125
1477785600,85489183.00000
1477872000,85521204.25000
1477958400,85551702.68750
1478044800,85582844.71875
1478131200,85614060.65625
1478217600,85644984.25000
1478304000,85676408.78125
1478390400,85708208.93750
1478476800,85741468.00000
1478563200,85773795.18750
1478649600,85804797.53125
1478736000,85836008.31250
1478822400,85867347.68750
1478908800,85899297.68750
1478995200,85931721.90625
1479081600,85963606.12500
1479168000,85995043.15625
1479254400,86026624.56250
1479340800,86057433.15625
1479427200,86090533.93750
1479513600,86122865.03125
1479600000,86155325.18750
1479686400,86187136.75000
1479772800,86218314.25000
1479859200,86250939.87500
1479945600,86283337.53125
1480032000,86316772.37500
1480118400,86349268.31250
1480204800,86382979.40625
1480291200,86416919.25000
1480377600,86449890.34375
1480464000,86481730.34375
1480550400,86513478.62500
1480636800,86545275.03125
1480723200,86577391.43750
1480809600,86608563.93750
1480896000,86639798.62500
1480982400,86671774.25000
1481068800,86703484.87500
1481155200,86735578.93750
1481241600,86767239.56250
1481328000,86798915.96875
1481414400,86830698.00000
1481500800,86862037.37500
1481587200,86893847.37500
1481673600,86925697.84375
1481760000,86957065.65625
1481846400,86988822.06250
1481932800,87020784.40625
1482019200,87052676.90625
1482105600,87084147.37500
1482192000,87115816.28125
1482278400,87147409.25000
1482364800,87178483.31250
1482451200,87209600.65625
1482537600,87240927.53125
1482624000,87272935.96875
1482710400,87304580.65625
1482796800,87335807.21875
1482883200,87367378.62500
1482969600,87399197.37500
1483056000,87430878.93750
1483142400,87462107.06250
1483228800,87493855.34375
1483315200,87525386.12500
1483401600,87556909.40625
1483488000,87589008.93750
1483574400,87620825.96875
1483660800,87652185.50000
1483747200,87684080.50000
1483833600,87715764.87500
1483920000,87747515.18750
1484006400,87778864.56250
1484092800,87810387.53125
1484179200,87841944.25000
1484265600,87873674.56250
1484352000,87905152.68750
1484438400,87936854.71875
1484524800,87968395.03125
1484611200,87999691.12500
1484697600,88031299.09375
1484784000,88063420.18750
1484870400,88094541.28125
1484956800,88126065.03125
1485043200,88157642.84375
1485129600,88189141.28125
1485216000,88220561.75000
1485302400,88251985.34375
1485388800,88283770.03125
1485475200,88314884.87500
1485561600,88346412.84375
1485648000,88377545.96875
1485734400,88409461.28125
1485820800,88440875.18750
1485907200,88472207.37500
1485993600,88503622.21875
1486080000,88534895.50000
1486166400,88566656.28125
1486252800,88598257.84375
1486339200,88629881.43750
1486425600,88661372.84375
