timestamp,blocksize
1474848000,1545
1474934400,1661
1475020800,1561
1475107200,1442
1475193600,1437
1475280000,1810
1475366400,1687
1475452800,1719
1475539200,2192
1475625600,1802
1475712000,1938
1475798400,4119
1475884800,5429
1475971200,5683
1476057600,12725
1476144000,2762
1476230400,1248
1476316800,1306
1476403200,1400
1476489600,1236
1476576000,1297
1476662400,1377
1476748800,1747
1476835200,1638
1476921600,1466
1477008000,1724
1477094400,1357
1477180800,1292
1477267200,1791
1477353600,1675
1477440000,1550
1477526400,1518
1477612800,1472
1477699200,1461
1477785600,1422
1477872000,1536
1477958400,1689
1478044800,1497
1478131200,1471
1478217600,1262
1478304000,1358
1478390400,1289
1478476800,1399
1478563200,1476
1478649600,1484
1478736000,1492
1478822400,1462
1478908800,1426
1478995200,1468
1479081600,1576
1479168000,1577
1479254400,1481
1479340800,1476
1479427200,1514
1479513600,1375
1479600000,1473
1479686400,1537
1479772800,1708
1479859200,1950
1479945600,1424
1480032000,1767
1480118400,1501
1480204800,1703
1480291200,1731
1480377600,1692
1480464000,2209
1480550400,1407
1480636800,1462
1480723200,1404
1480809600,1403
1480896000,1491
1480982400,1615
1481068800,1523
1481155200,1416
1481241600,1502
1481328000,1428
1481414400,1681
1481500800,1477
1481587200,1538
1481673600,1835
1481760000,1582
1481846400,1506
1481932800,1418
1482019200,1345
1482105600,1616
1482192000,1536
1482278400,1769
1482364800,1762
1482451200,1522
1482537600,1361
1482624000,1317
1482710400,1294
1482796800,1558
1482883200,1531
1482969600,1678
1483056000,1623
1483142400,1544
1483228800,1390
1483315200,1458
1483401600,1627
1483488000,1717
1483574400,1676
1483660800,1593
1483747200,1570
1483833600,1557
1483920000,1595
1484006400,1686
1484092800,1591
1484179200,1697
1484265600,1729
1484352000,1499
1484438400,1498
1484524800,1575
1484611200,1642
1484697600,1583
1484784000,1552
1484870400,1609
1484956800,1504
1485043200,1616
1485129600,1612
1485216000,1754
1485302400,1644
1485388800,1673
1485475200,1658
1485561600,1628
1485648000,1523
1485734400,1579
1485820800,1539
1485907200,1607
1485993600,1578
1486080000,1568
1486166400,1560
1486252800,1614
1486339200,1606
1486425600,1827
1486512000,1764
1486598400,1630
1486684800,1735
1486771200,1594
1486857600,1571
1486944000,1823
1487030400,1914
1487116800,1818
1487203200,1661
1487289600,1661
1487376000,1773
1487462400,1635
1487548800,1696
1487635200,1989
1487721600,1790
1487808000,1667
1487894400,1778
1487980800,1761
1488067200,1713
1488153600,1819
1488240000,1935
1488326400,2235
1488412800,2209
1488499200,2084
1488585600,1860
1488672000,1821
1488758400,1808
1488844800,1963
1488931200,1800
1489017600,2403
1489104000,2190
1489190400,2014
1489276800,2043
1489363200,2452
1489449600,2433
1489536000,2456
1489622400,3071
1489708800,2880
1489795200,2513
1489881600,2396
1489968000,2316
1490054400,2507
1490140800,2368
1490227200,2513
1490313600,2557
1490400000,2428
1490486400,2375
1490572800,2896
1490659200,2543
1490745600,2744
1490832000,2853
1490918400,2949
1491004800,2403
1491091200,2669
1491177600,2788
1491264000,2518
1491350400,2558
1491436800,2799
1491523200,2776
1491609600,2249
1491696000,2358
1491782400,2460
1491868800,2377
1491955200,2697
1492041600,2589
1492128000,2451
1492214400,2348
1492300800,2220
1492387200,2309
1492473600,2603
1492560000,2664
1492646400,2581
1492732800,2691
1492819200,2429
1492905600,2393
1492992000,2553
1493078400,2803
1493164800,2724
1493251200,3095
1493337600,3178
1493424000,2793
1493510400,3064
1493596800,3544
1493683200,3461
1493769600,3028
1493856000,3351
