timestamp,transactions
1460678400,34959
1460764800,30483
1460851200,40203
1460937600,33513
1461024000,32622
1461110400,32944
1461196800,37181
1461283200,31678
1461369600,31845
1461456000,34046
1461542400,35430
1461628800,32582
1461715200,33847
1461801600,34343
1461888000,37332
1461974400,45769
1462060800,39578
1462147200,41748
1462233600,37821
1462320000,37484
1462406400,38707
1462492800,41271
1462579200,35864
1462665600,40063
1462752000,38560
1462838400,40684
1462924800,40811
1463011200,45002
1463097600,47737
1463184000,45745
1463270400,43073
1463356800,37424
1463443200,40309
1463529600,46033
1463616000,44523
1463702400,45177
1463788800,43621
1463875200,38895
1463961600,43806
1464048000,42911
1464134400,46443
1464220800,51147
1464307200,49006
1464393600,70148
1464480000,45890
1464566400,42927
1464652800,44386
1464739200,42221
1464825600,39666
1464912000,39834
1464998400,37875
1465084800,37896
1465171200,38957
1465257600,46141
1465344000,40433
1465430400,39854
1465516800,40145
1465603200,36901
1465689600,42581
1465776000,46185
1465862400,50335
1465948800,43251
1466035200,43392
1466121600,66558
1466208000,63083
1466294400,51035
1466380800,47118
1466467200,47323
1466553600,48615
1466640000,41908
1466726400,45331
1466812800,36684
1466899200,41613
1466985600,39663
1467072000,43089
1467158400,49897
1467244800,63952
1467331200,40085
1467417600,39257
1467504000,39757
1467590400,39950
1467676800,39270
1467763200,37900
1467849600,40433
1467936000,42506
1468022400,40410
1468108800,39358
1468195200,38582
1468281600,40811
1468368000,35740
1468454400,42809
1468540800,41110
1468627200,38062
1468713600,33914
1468800000,39198
1468886400,44184
1468972800,50631
1469059200,44882
1469145600,48458
1469232000,45006
1469318400,58215
1469404800,54856
1469491200,61930
1469577600,53035
1469664000,48555
1469750400,47243
1469836800,42011
1469923200,48749
1470009600,45978
1470096000,49041
1470182400,49475
1470268800,46761
1470355200,43212
1470441600,41487
1470528000,42955
1470614400,42984
1470700800,47057
1470787200,46290
1470873600,48171
1470960000,44400
1471046400,41088
1471132800,40577
1471219200,42302
1471305600,48949
1471392000,44867
1471478400,47799
1471564800,42948
1471651200,41318
1471737600,42543
1471824000,44250
1471910400,48430
1471996800,46821
1472083200,49868
1472169600,47292
1472256000,47938
1472342400,42607
1472428800,45510
1472515200,46979
1472601600,45846
1472688000,47491
1472774400,55413
1472860800,44792
1472947200,48128
1473033600,42667
1473120000,49102
1473206400,48701
1473292800,55970
1473379200,53918
1473465600,42875
1473552000,43345
1473638400,45123
1473724800,42591
1473811200,53859
1473897600,52622
1473984000,57532
1474070400,46882
1474156800,37893
1474243200,40505
1474329600,54067
1474416000,44549
1474502400,52657
1474588800,35219
1474675200,43418
1474761600,38713
1474848000,43514
1474934400,46817
1475020800,42797
1475107200,40416
1475193600,35836
1475280000,53076
1475366400,51105
1475452800,47672
1475539200,56662
1475625600,41719
1475712000,36826
1475798400,43708
1475884800,37690
1475971200,43940
1476057600,44940
1476144000,41053
1476230400,30002
1476316800,32244
1476403200,42006
1476489600,33662
1476576000,34990
1476662400,38136
1476748800,51898
1476835200,38497
1476921600,43438
1477008000,57780
1477094400,37772
1477180800,35364
1477267200,52547
1477353600,47610
1477440000,45158
1477526400,44353
1477612800,41522
1477699200,40011
1477785600,39435
1477872000,45031
1477958400,49025
1478044800,43519
1478131200,42346
1478217600,32572
1478304000,37690
1478390400,34391
1478476800,41941
1478563200,41569
1478649600,40517
1478736000,40164
1478822400,41070
1478908800,40882
1478995200,43673
1479081600,43876
1479168000,45330
1479254400,41684
1479340800,40738
1479427200,43785
1479513600,39289
1479600000,42125
1479686400,42735
1479772800,53585
1479859200,64289
1479945600,36861
1480032000,58075
1480118400,40804
1480204800,44449
1480291200,48388
1480377600,47036
1480464000,39178
1480550400,37121
1480636800,41642
1480723200,41357
1480809600,39643
1480896000,41613
1480982400,48200
1481068800,41757
1481155200,39587
1481241600,41444
1481328000,40564
1481414400,39164
1481500800,38741
1481587200,44664
1481673600,47294
1481760000,46102
1481846400,43953
1481932800,39442
1482019200,36640
1482105600,45599
1482192000,44241
1482278400,50793
1482364800,55173
1482451200,44391
1482537600,37757
1482624000,36601
1482710400,34565
1482796800,42370
1482883200,43386
1482969600,46546
1483056000,44561
1483142400,41220
1483228800,38730
1483315200,39652
1483401600,45883
1483488000,50673
1483574400,49596
1483660800,43804
1483747200,43622
1483833600,42727
1483920000,46188
1484006400,48179
1484092800,45221
1484179200,50589
1484265600,50833
1484352000,42044
1484438400,41748
1484524800,45375
1484611200,46671
1484697600,44994
1484784000,43628
1484870400,45775
1484956800,43302
1485043200,47432
1485129600,46076
1485216000,50414
1485302400,46256
1485388800,46856
1485475200,46680
1485561600,45189
1485648000,42509
1485734400,45369
